Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Customer_Since,Category,Product,Quantity,Unit_Price,Discount,Total_Amount,Payment_Method,Order_Date,Delivery_Date,Delivery_Days,Order_Status,Rating,Return_Reason,Unnamed_Col
ORD00944,CUST0332,Sachin Bose,27,Male,Chennai,2022-09-28,Books,Self-Help,2,344.03,0.02,674.3,Wallet,2022-12-06,2022-12-11,5,Cancelled,,,
ORD00089,CUST0029,Ravi Pandey,42,Female,Ahmedabad,2022-09-08,Sports,Badminton Racket,2,1516.26,0.34,2001.46,Net Banking,2023-03-09,2023-03-11,2,Delivered,3.0,,
ORD00178,CUST0061,Priya Kapoor,22,Female,Chennai,2022-07-11,Toys,Puzzle,2,383.64,0.31,529.42,Debit Card,2022-06-09,2022-06-17,8,Returned,,,
ORD00914,CUST0322,Vivek Hegde,50,Female,Hyderabad,2022-09-14,Electronics,Camera,3,32703.05,0.07,91241.51,Wallet,2023-11-26,2023-12-04,8,Cancelled,,,
ORD00612,CUST0215,Raj Pillai,47,Female,lucknow,2022-12-24,Beauty,Lipstick,2,379.9,0.01,752.2,Debit Card,2022-10-21,2022-10-30,9,Cancelled,,,
ORD00234,CUST0082,Divya Srivastava,65,Female,Bangalore,2022-11-05,Grocery,Cooking Oil,3,214.43,0.16,540.36,Credit Card,16/03/2023,2023-03-19,3,Delivered,1.0,,
ORD00729,CUST0257,Meena Pillai,21,Female,Lucknow,2022-07-12,Books,Biography,1,392.65,0.28,282.71,Credit Card,2022-12-25,2023-01-07,13,Cancelled,,,
ORD00629,CUST0221,Tarun Kapoor,24,Male,Delhi,2022-03-07,Home & Kitchen,Bedsheet,1,1037.39,0.34,684.68,Cash on Delivery,2023-01-13,2023-01-23,10,Delivered,4.0,,
ORD00746,CUST0262,Harish Nair,55,Male,Jaipur,2022-03-03,Home & Kitchen,Bedsheet,3,1287.67,0.25,2897.26,Net Banking,2024-04-14,2024-04-20,6,Shipped,,,
ORD00147,CUST0050,Swati Mishra,59,Female,Bangalore,2022-09-15,Beauty,Serum,1,751.97,0.07,699.33,  Cash on Delivery  ,2022-11-02,2022-11-10,8,Returned,,Late Delivery,
ORD00408,CUST0143,Shweta Gupta,26,Male,Delhi,2022-09-03,Grocery,Cooking Oil,2,201.43,0.21,318.26,Cash on Delivery,2022-06-19,2022-06-30,11,Returned,,Defective Product,
ORD00792,CUST0277,Vijay Srivastava,34,Male,Jaipur,2022-12-28,Toys,Puzzle,3,366.84,0.3,770.36,Cash on Delivery,2023-05-11,2023-05-23,12,Returned,,Changed Mind,
ORD00648,CUST0228,Deepak Saxena,46,Male,Chennai,2022-11-09,Beauty,Perfume,2,1812.23,0.16,3044.55,Debit Card,2023-06-20,2023-06-26,6,Delivered,2.0,,
ORD00728,CUST0257,Meena Pillai,21,Female,Lucknow,2022-07-12,Sports,Cricket Bat,3,2249.26,0.19,5465.7,Wallet,2024-01-26,2024-02-09,14,Delivered,5.0,,
ORD00579,CUST0204,Priya Shah,29,Male,Pune,2022-10-15,BOOKS,Novel,3,378.51,0.3,794.87,Net Banking,2023-06-17,2023-06-25,8,Delivered,3.0,,
ORD00571,CUST0200,Deepak Kulkarni,23,Male,Nagpur,2022-12-01,Books,Textbook,1,605.7,0.3,423.99,Debit Card,2022-06-24,2022-06-26,2,Cancelled,,,
ORD00369,CUST0130,Anil Mehta,39,Female,Hyderabad,2022-04-23,Toys,Action Figure,1,769.65,0.09,700.38,Debit Card,2024-04-23,2024-04-30,7,Cancled,,,
ORD00718,CUST0254,Rahul Desai,37,Female,Jaipur,2022-08-31,Fashion,Jacket,2,1971.7,0.06,3706.8,Credit Card,2023-03-11,2023-03-25,14,Cancelled,,,
ORD00481,CUST0168,Shweta Iyer,63,,,2022-08-31,Fashion,Jacket,1,2153.82,0.18,1766.13,,2023-10-26,2023-11-03,8,Delivered,,,
